ReportDate,PublishedAt,CompletedUnits,ClosedInvoiceCount,ClosedActiveCustomerCount,ClosedNMRGBP
2010-05-18,2010-05-19 02:00:00,866,35,32,861.15
2010-05-19,2010-05-20 02:00:00,1524,33,32,1761.73
2010-05-20,2010-05-21 02:00:00,1782,40,39,2748.91
2010-05-21,2010-05-22 02:00:00,1270,27,22,2304.28
2010-05-22,2010-05-23 02:00:00,0,0,0,0.0
2010-05-23,2010-05-24 02:00:00,1915,32,30,2691.27
2010-05-24,2010-05-25 02:00:00,4950,35,31,2813.56
2010-05-25,2010-05-26 02:00:00,1471,30,28,1897.61
2010-05-26,2010-05-27 02:00:00,2334,53,38,3707.7
2010-05-27,2010-05-28 02:00:00,2136,51,50,3290.21
2010-05-28,2010-05-29 02:00:00,602,19,16,-950.97
2010-05-29,2010-05-30 02:00:00,0,0,0,0.0
2010-05-30,2010-05-31 02:00:00,903,19,19,1089.02
2010-05-31,2010-06-01 02:00:00,0,0,0,0.0
2010-06-01,2010-06-02 02:00:00,787,21,20,1085.12
2010-06-02,2010-06-03 02:00:00,1132,22,21,1073.98
2010-06-03,2010-06-04 02:00:00,2319,33,31,2995.89
2010-06-04,2010-06-05 02:00:00,1103,22,12,1552.18
2010-06-05,2010-06-06 02:00:00,0,0,0,0.0
2010-06-06,2010-06-07 02:00:00,1742,47,46,2621.06
2010-06-07,2010-06-08 02:00:00,3500,64,58,5169.55
2010-06-08,2010-06-09 02:00:00,1612,43,35,2590.37
2010-06-09,2010-06-10 02:00:00,2319,35,32,3718.77
2010-06-10,2010-06-11 02:00:00,926,29,29,-576.93
2010-06-11,2010-06-12 02:00:00,2784,44,41,3395.08
2010-06-12,2010-06-13 02:00:00,0,0,0,0.0
2010-06-13,2010-06-14 02:00:00,2163,42,40,3764.95
2010-06-14,2010-06-15 02:00:00,1471,29,25,1870.26
2010-06-15,2010-06-16 02:00:00,1802,28,26,2291.36
2010-06-16,2010-06-17 02:00:00,1220,33,31,2077.47
2010-06-17,2010-06-18 02:00:00,1879,43,40,2312.38
2010-06-18,2010-06-19 02:00:00,744,21,20,1153.11
2010-06-19,2010-06-20 02:00:00,0,0,0,0.0
2010-06-20,2010-06-21 02:00:00,466,13,13,781.56
2010-06-21,2010-06-22 02:00:00,951,28,27,1680.35
2010-06-22,2010-06-23 02:00:00,758,22,20,1510.37
2010-06-23,2010-06-24 02:00:00,1072,32,26,1634.04
2010-06-24,2010-06-25 02:00:00,951,36,24,1142.46
2010-06-25,2010-06-26 02:00:00,1057,24,22,1885.88
2010-06-26,2010-06-27 02:00:00,0,0,0,0.0
2010-06-27,2010-06-28 02:00:00,1304,32,32,1411.99
2010-06-28,2010-06-29 02:00:00,3101,38,35,4892.64
2010-06-29,2010-06-30 02:00:00,1301,32,28,1723.27
2010-06-30,2010-07-01 02:00:00,1283,43,41,1823.41
2010-07-01,2010-07-02 02:00:00,1868,42,41,2802.82
2010-07-02,2010-07-03 02:00:00,538,21,18,857.09
2010-07-03,2010-07-04 02:00:00,0,0,0,0.0
2010-07-04,2010-07-05 02:00:00,424,13,12,519.55
2010-07-05,2010-07-06 02:00:00,1451,50,33,2925.95
2010-07-06,2010-07-07 02:00:00,1122,26,24,1564.66
2010-07-07,2010-07-08 02:00:00,2078,44,29,2672.15
2010-07-08,2010-07-09 02:00:00,1718,35,34,1826.9
2010-07-09,2010-07-10 02:00:00,626,15,12,1293.75
2010-07-10,2010-07-11 02:00:00,0,0,0,0.0
2010-07-11,2010-07-12 02:00:00,391,17,17,685.95
2010-07-12,2010-07-13 02:00:00,1224,25,19,1761.36
2010-07-13,2010-07-14 02:00:00,1332,24,21,2774.65
2010-07-14,2010-07-15 02:00:00,1127,33,27,1757.07
2010-07-15,2010-07-16 02:00:00,3391,40,39,4800.61
2010-07-16,2010-07-17 02:00:00,954,28,26,1572.47
2010-07-17,2010-07-18 02:00:00,0,0,0,0.0
2010-07-18,2010-07-19 02:00:00,1061,26,25,1117.9
2010-07-19,2010-07-20 02:00:00,1385,36,34,2254.61
2010-07-20,2010-07-21 02:00:00,1106,31,29,2055.21
2010-07-21,2010-07-22 02:00:00,1024,25,20,1524.58
2010-07-22,2010-07-23 02:00:00,1347,41,27,1827.87
2010-07-23,2010-07-24 02:00:00,1059,20,18,2314.06
2010-07-24,2010-07-25 02:00:00,0,0,0,0.0
2010-07-25,2010-07-26 02:00:00,624,29,29,1103.93
2010-07-26,2010-07-27 02:00:00,1905,38,30,2549.83
2010-07-27,2010-07-28 02:00:00,1682,30,29,1798.93
2010-07-28,2010-07-29 02:00:00,1580,35,35,1844.69
2010-07-29,2010-07-30 02:00:00,1165,36,31,2376.5
2010-07-30,2010-07-31 02:00:00,808,23,16,1118.44
2010-07-31,2010-08-01 02:00:00,0,0,0,0.0
2010-08-01,2010-08-02 02:00:00,498,20,18,714.68
2010-08-02,2010-08-03 02:00:00,871,34,28,1404.67
2010-08-03,2010-08-04 02:00:00,1260,32,27,1649.11
2010-08-04,2010-08-05 02:00:00,1178,29,25,1400.24
2010-08-05,2010-08-06 02:00:00,1815,33,30,1389.91
2010-08-06,2010-08-07 02:00:00,1536,22,18,1759.21
2010-08-07,2010-08-08 02:00:00,0,0,0,0.0
2010-08-08,2010-08-09 02:00:00,785,26,26,1314.52
2010-08-09,2010-08-10 02:00:00,7435,22,21,2318.08
2010-08-10,2010-08-11 02:00:00,1957,26,19,3530.9
2010-08-11,2010-08-12 02:00:00,563,22,19,1107.24
2010-08-12,2010-08-13 02:00:00,2543,45,39,2827.7
2010-08-13,2010-08-14 02:00:00,1530,31,21,1982.58
2010-08-14,2010-08-15 02:00:00,0,0,0,0.0
2010-08-15,2010-08-16 02:00:00,1205,27,25,1754.52
2010-08-16,2010-08-17 02:00:00,990,21,18,1976.43
2010-08-17,2010-08-18 02:00:00,2229,23,21,2634.77
2010-08-18,2010-08-19 02:00:00,2294,29,28,4194.32
2010-08-19,2010-08-20 02:00:00,1742,44,36,2755.01
2010-08-20,2010-08-21 02:00:00,2266,25,22,2156.83
