ReportDate,PublishedAt,CompletedUnits,ClosedInvoiceCount,ClosedActiveCustomerCount,ClosedNMRGBP
2009-12-01,2009-12-02 02:00:00,2842,85,70,6855.34
2009-12-02,2009-12-03 02:00:00,4881,78,65,10768.16
2009-12-03,2009-12-04 02:00:00,4868,73,69,9403.27
2009-12-04,2009-12-05 02:00:00,2383,49,45,4975.51
2009-12-05,2009-12-06 02:00:00,970,19,16,2009.82
2009-12-06,2009-12-07 02:00:00,2147,58,50,4652.25
2009-12-07,2009-12-08 02:00:00,2539,66,54,6868.84
2009-12-08,2009-12-09 02:00:00,4446,66,61,10655.68
2009-12-09,2009-12-10 02:00:00,2726,62,55,6109.11
2009-12-10,2009-12-11 02:00:00,3763,62,58,6321.51
2009-12-11,2009-12-12 02:00:00,3121,43,39,4855.02
2009-12-12,2009-12-13 02:00:00,0,0,0,0.0
2009-12-13,2009-12-14 02:00:00,3038,57,54,4871.08
2009-12-14,2009-12-15 02:00:00,6357,65,54,9171.15
2009-12-15,2009-12-16 02:00:00,3392,59,58,8000.49
2009-12-16,2009-12-17 02:00:00,3350,67,61,7534.04
2009-12-17,2009-12-18 02:00:00,2434,75,60,3784.0
2009-12-18,2009-12-19 02:00:00,1289,39,34,3721.38
2009-12-19,2009-12-20 02:00:00,0,0,0,0.0
2009-12-20,2009-12-21 02:00:00,1197,24,24,1939.86
2009-12-21,2009-12-22 02:00:00,1118,25,21,2567.4
2009-12-22,2009-12-23 02:00:00,729,27,10,2059.4
2009-12-23,2009-12-24 02:00:00,249,8,3,528.52
2009-12-24,2009-12-25 02:00:00,0,0,0,0.0
2009-12-25,2009-12-26 02:00:00,0,0,0,0.0
2009-12-26,2009-12-27 02:00:00,0,0,0,0.0
2009-12-27,2009-12-28 02:00:00,0,0,0,0.0
2009-12-28,2009-12-29 02:00:00,0,0,0,0.0
2009-12-29,2009-12-30 02:00:00,0,0,0,0.0
2009-12-30,2009-12-31 02:00:00,0,0,0,0.0
2009-12-31,2010-01-01 02:00:00,0,0,0,0.0
2010-01-01,2010-01-02 02:00:00,0,0,0,0.0
2010-01-02,2010-01-03 02:00:00,0,0,0,0.0
2010-01-03,2010-01-04 02:00:00,0,0,0,0.0
2010-01-04,2010-01-05 02:00:00,3885,16,13,3521.35
2010-01-05,2010-01-06 02:00:00,1467,22,22,2570.8
2010-01-06,2010-01-07 02:00:00,2573,11,11,1686.13
2010-01-07,2010-01-08 02:00:00,4486,29,27,7453.48
2010-01-08,2010-01-09 02:00:00,1502,23,23,1790.26
2010-01-09,2010-01-10 02:00:00,0,0,0,0.0
2010-01-10,2010-01-11 02:00:00,2151,25,23,1836.81
2010-01-11,2010-01-12 02:00:00,1844,34,22,4641.67
2010-01-12,2010-01-13 02:00:00,2511,23,20,6547.22
2010-01-13,2010-01-14 02:00:00,974,19,15,2652.61
2010-01-14,2010-01-15 02:00:00,1697,38,28,3175.48
2010-01-15,2010-01-16 02:00:00,638,28,22,1162.49
2010-01-16,2010-01-17 02:00:00,0,0,0,0.0
2010-01-17,2010-01-18 02:00:00,2320,30,26,3877.03
2010-01-18,2010-01-19 02:00:00,722,30,26,1696.01
2010-01-19,2010-01-20 02:00:00,1359,31,27,2897.54
2010-01-20,2010-01-21 02:00:00,949,24,21,2460.6
2010-01-21,2010-01-22 02:00:00,1633,33,33,2563.46
2010-01-22,2010-01-23 02:00:00,2406,27,23,3861.7
2010-01-23,2010-01-24 02:00:00,0,0,0,0.0
2010-01-24,2010-01-25 02:00:00,1085,36,35,1920.86
2010-01-25,2010-01-26 02:00:00,1601,45,38,3485.67
2010-01-26,2010-01-27 02:00:00,2670,36,30,4764.02
2010-01-27,2010-01-28 02:00:00,3178,34,30,5047.33
2010-01-28,2010-01-29 02:00:00,1279,27,26,2783.08
2010-01-29,2010-01-30 02:00:00,1267,29,26,2493.46
2010-01-30,2010-01-31 02:00:00,0,0,0,0.0
2010-01-31,2010-02-01 02:00:00,1065,32,31,2019.57
2010-02-01,2010-02-02 02:00:00,1011,39,33,2274.26
2010-02-02,2010-02-03 02:00:00,1040,29,23,2757.6
2010-02-03,2010-02-04 02:00:00,845,28,24,2479.75
2010-02-04,2010-02-05 02:00:00,1222,35,32,2612.42
2010-02-05,2010-02-06 02:00:00,589,21,18,1014.94
2010-02-06,2010-02-07 02:00:00,0,0,0,0.0
2010-02-07,2010-02-08 02:00:00,323,18,18,662.47
2010-02-08,2010-02-09 02:00:00,945,33,26,1749.8
2010-02-09,2010-02-10 02:00:00,920,26,25,1625.39
2010-02-10,2010-02-11 02:00:00,663,15,12,1253.63
2010-02-11,2010-02-12 02:00:00,1413,26,26,1552.89
2010-02-12,2010-02-13 02:00:00,1105,17,16,1150.75
2010-02-13,2010-02-14 02:00:00,0,0,0,0.0
2010-02-14,2010-02-15 02:00:00,1016,24,22,1740.75
2010-02-15,2010-02-16 02:00:00,794,18,18,1800.34
2010-02-16,2010-02-17 02:00:00,2187,42,37,3348.93
2010-02-17,2010-02-18 02:00:00,1375,29,27,2392.4
2010-02-18,2010-02-19 02:00:00,2314,34,32,3067.2
2010-02-19,2010-02-20 02:00:00,2323,32,15,1598.08
2010-02-20,2010-02-21 02:00:00,0,0,0,0.0
2010-02-21,2010-02-22 02:00:00,184,17,17,370.7
2010-02-22,2010-02-23 02:00:00,1705,24,23,2268.61
2010-02-23,2010-02-24 02:00:00,1445,30,28,2328.29
2010-02-24,2010-02-25 02:00:00,2512,29,23,2812.14
2010-02-25,2010-02-26 02:00:00,1185,35,33,2304.24
2010-02-26,2010-02-27 02:00:00,1024,18,15,1777.28
2010-02-27,2010-02-28 02:00:00,0,0,0,0.0
2010-02-28,2010-03-01 02:00:00,1294,32,31,2262.53
2010-03-01,2010-03-02 02:00:00,1971,29,27,2172.19
2010-03-02,2010-03-03 02:00:00,1311,33,31,2454.34
2010-03-03,2010-03-04 02:00:00,2007,33,29,3579.17
2010-03-04,2010-03-05 02:00:00,1823,37,34,3350.9
2010-03-05,2010-03-06 02:00:00,982,33,24,1567.61
2010-03-06,2010-03-07 02:00:00,0,0,0,0.0
2010-03-07,2010-03-08 02:00:00,1665,41,38,3112.07
2010-03-08,2010-03-09 02:00:00,1738,40,34,3566.14
2010-03-09,2010-03-10 02:00:00,2507,32,31,2533.7
2010-03-10,2010-03-11 02:00:00,1138,29,23,3064.75
2010-03-11,2010-03-12 02:00:00,1454,30,25,2557.73
2010-03-12,2010-03-13 02:00:00,1714,23,21,3374.33
2010-03-13,2010-03-14 02:00:00,0,0,0,0.0
2010-03-14,2010-03-15 02:00:00,430,12,11,776.98
2010-03-15,2010-03-16 02:00:00,1544,29,26,2143.8
2010-03-16,2010-03-17 02:00:00,1559,29,27,3010.0
2010-03-17,2010-03-18 02:00:00,1433,32,28,2592.86
2010-03-18,2010-03-19 02:00:00,2156,44,38,3837.32
2010-03-19,2010-03-20 02:00:00,1263,32,29,2061.95
2010-03-20,2010-03-21 02:00:00,0,0,0,0.0
2010-03-21,2010-03-22 02:00:00,2354,33,32,3917.37
2010-03-22,2010-03-23 02:00:00,1255,28,25,1920.17
2010-03-23,2010-03-24 02:00:00,1916,45,42,3335.52
2010-03-24,2010-03-25 02:00:00,1787,33,32,3617.3
2010-03-25,2010-03-26 02:00:00,2122,50,44,3274.5
2010-03-26,2010-03-27 02:00:00,2553,28,25,3361.64
2010-03-27,2010-03-28 02:00:00,0,0,0,0.0
2010-03-28,2010-03-29 02:00:00,1947,42,42,2758.89
2010-03-29,2010-03-30 02:00:00,2162,56,26,5388.43
2010-03-30,2010-03-31 02:00:00,1861,35,32,2857.9
2010-03-31,2010-04-01 02:00:00,2147,44,37,3966.87
