ReportDate,PublishedAt,CompletedUnits,ClosedInvoiceCount,ClosedActiveCustomerCount,ClosedNMRGBP
2010-11-02,2010-11-03 02:00:00,1913,59,55,4387.77
2010-11-03,2010-11-04 02:00:00,1934,45,41,4211.01
2010-11-04,2010-11-05 02:00:00,12110,73,63,21033.27
2010-11-05,2010-11-06 02:00:00,1609,44,36,3420.79
2010-11-06,2010-11-07 02:00:00,0,0,0,0.0
2010-11-07,2010-11-08 02:00:00,1531,57,54,2599.19
2010-11-08,2010-11-09 02:00:00,1961,52,46,4903.68
2010-11-09,2010-11-10 02:00:00,3154,66,60,6859.4
2010-11-10,2010-11-11 02:00:00,3373,71,66,7227.44
2010-11-11,2010-11-12 02:00:00,2933,76,64,5186.67
2010-11-12,2010-11-13 02:00:00,3319,61,50,6363.24
2010-11-13,2010-11-14 02:00:00,0,0,0,0.0
2010-11-14,2010-11-15 02:00:00,1696,61,55,3277.35
2010-11-15,2010-11-16 02:00:00,2620,57,50,7310.6
2010-11-16,2010-11-17 02:00:00,3580,67,60,5941.04
2010-11-17,2010-11-18 02:00:00,2991,67,61,5020.63
2010-11-18,2010-11-19 02:00:00,2186,65,58,4665.81
2010-11-19,2010-11-20 02:00:00,1570,49,43,3422.82
2010-11-20,2010-11-21 02:00:00,0,0,0,0.0
2010-11-21,2010-11-22 02:00:00,1677,59,57,3122.86
2010-11-22,2010-11-23 02:00:00,3382,62,56,6723.49
2010-11-23,2010-11-24 02:00:00,4203,91,85,6682.48
2010-11-24,2010-11-25 02:00:00,3700,77,65,6920.37
2010-11-25,2010-11-26 02:00:00,3831,92,89,8022.26
2010-11-26,2010-11-27 02:00:00,1623,53,47,3969.34
2010-11-27,2010-11-28 02:00:00,0,0,0,0.0
2010-11-28,2010-11-29 02:00:00,2161,61,60,3106.46
2010-11-29,2010-11-30 02:00:00,4353,72,62,8316.82
2010-11-30,2010-12-01 02:00:00,3020,64,58,5799.21
2010-12-01,2010-12-02 02:00:00,3907,66,58,8391.84
2010-12-02,2010-12-03 02:00:00,4883,64,48,5974.79
2010-12-03,2010-12-04 02:00:00,1569,38,27,5055.7
2010-12-04,2010-12-05 02:00:00,0,0,0,0.0
2010-12-05,2010-12-06 02:00:00,2232,54,51,4057.75
2010-12-06,2010-12-07 02:00:00,1857,58,51,4384.68
2010-12-07,2010-12-08 02:00:00,2365,50,42,6346.21
2010-12-08,2010-12-09 02:00:00,2478,65,62,4098.1
2010-12-09,2010-12-10 02:00:00,1762,63,55,4582.68
2010-12-10,2010-12-11 02:00:00,2291,47,37,4654.98
2010-12-11,2010-12-12 02:00:00,0,0,0,0.0
2010-12-12,2010-12-13 02:00:00,669,26,26,1060.64
2010-12-13,2010-12-14 02:00:00,3290,42,38,5585.48
2010-12-14,2010-12-15 02:00:00,1744,50,42,3587.5
2010-12-15,2010-12-16 02:00:00,1972,43,42,3392.78
2010-12-16,2010-12-17 02:00:00,4619,66,59,9226.36
2010-12-17,2010-12-18 02:00:00,1242,33,24,1883.3
2010-12-18,2010-12-19 02:00:00,0,0,0,0.0
2010-12-19,2010-12-20 02:00:00,523,16,16,1142.64
2010-12-20,2010-12-21 02:00:00,1472,31,23,2099.49
2010-12-21,2010-12-22 02:00:00,879,30,12,2521.46
2010-12-22,2010-12-23 02:00:00,220,5,5,292.05
2010-12-23,2010-12-24 02:00:00,493,16,11,984.39
2010-12-24,2010-12-25 02:00:00,0,0,0,0.0
2010-12-25,2010-12-26 02:00:00,0,0,0,0.0
2010-12-26,2010-12-27 02:00:00,0,0,0,0.0
2010-12-27,2010-12-28 02:00:00,0,0,0,0.0
2010-12-28,2010-12-29 02:00:00,0,0,0,0.0
2010-12-29,2010-12-30 02:00:00,0,0,0,0.0
2010-12-30,2010-12-31 02:00:00,0,0,0,0.0
2010-12-31,2011-01-01 02:00:00,0,0,0,0.0
2011-01-01,2011-01-02 02:00:00,0,0,0,0.0
2011-01-02,2011-01-03 02:00:00,0,0,0,0.0
2011-01-03,2011-01-04 02:00:00,0,0,0,0.0
2011-01-04,2011-01-05 02:00:00,962,19,18,1760.01
2011-01-05,2011-01-06 02:00:00,1690,32,29,3853.61
2011-01-06,2011-01-07 02:00:00,2300,29,27,2863.79
2011-01-07,2011-01-08 02:00:00,2399,30,28,2798.03
2011-01-08,2011-01-09 02:00:00,0,0,0,0.0
2011-01-09,2011-01-10 02:00:00,706,24,24,1319.68
2011-01-10,2011-01-11 02:00:00,1497,23,18,2014.59
2011-01-11,2011-01-12 02:00:00,4847,31,28,12603.55
2011-01-12,2011-01-13 02:00:00,1244,25,23,2453.03
2011-01-13,2011-01-14 02:00:00,640,16,14,1145.92
2011-01-14,2011-01-15 02:00:00,1338,26,18,2328.28
2011-01-15,2011-01-16 02:00:00,0,0,0,0.0
2011-01-16,2011-01-17 02:00:00,965,16,15,1497.67
2011-01-17,2011-01-18 02:00:00,1309,30,26,2424.05
2011-01-18,2011-01-19 02:00:00,923,25,17,1229.22
2011-01-19,2011-01-20 02:00:00,1287,22,20,2211.36
2011-01-20,2011-01-21 02:00:00,843,22,18,1793.84
2011-01-21,2011-01-22 02:00:00,1115,20,15,1775.11
2011-01-22,2011-01-23 02:00:00,0,0,0,0.0
2011-01-23,2011-01-24 02:00:00,732,22,22,1029.39
2011-01-24,2011-01-25 02:00:00,801,29,22,1430.46
